Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,2094.989990,2151.580078,2079.189941,2104.870117,2104.870117,380200
2020-12-11,2090.219971,2104.020020,2050.129883,2089.209961,2089.209961,354500
2020-12-14,2120.090088,2143.060059,2065.080078,2066.010010,2066.010010,339200
2020-12-15,2078.219971,2105.820068,2055.010010,2098.050049,2098.050049,314700
2020-12-16,2118.199951,2118.199951,2077.399902,2098.709961,2098.709961,238600
2020-12-17,2117.949951,2126.949951,2070.520020,2113.429932,2113.429932,295300
2020-12-18,2118.750000,2118.750000,2087.929932,2099.649902,2099.649902,536200
2020-12-21,2050.000000,2071.820068,2024.020020,2068.199951,2068.199951,357100
2020-12-22,2068.350098,2069.360107,2031.390015,2052.820068,2052.820068,198800
2020-12-23,2055.389893,2114.149902,2050.429932,2100.850098,2100.850098,314700
2020-12-24,2119.000000,2119.000000,2081.000000,2088.350098,2088.350098,182500
2020-12-28,2129.449951,2152.260010,2124.459961,2137.919922,2137.919922,251000
2020-12-29,2165.979980,2200.000000,2153.959961,2185.399902,2185.399902,341900
2020-12-30,2200.000000,2214.010010,2174.969971,2205.260010,2205.260010,229700
2020-12-31,2198.070068,2227.969971,2185.000000,2227.270020,2227.270020,176600
2021-01-04,2250.000000,2257.189941,2121.209961,2164.080078,2164.080078,334000
2021-01-05,2164.000000,2225.939941,2154.560059,2188.070068,2188.070068,348200
2021-01-06,2175.889893,2288.489990,2160.000000,2249.810059,2249.810059,393400
2021-01-07,2278.149902,2288.000000,2219.770020,2239.850098,2239.850098,299700
2021-01-08,2256.340088,2289.979980,2248.469971,2281.540039,2281.540039,310500
2021-01-11,2252.429932,2290.040039,2214.030029,2221.270020,2221.270020,320600
2021-01-12,2237.360107,2243.639893,2191.629883,2196.340088,2196.340088,259400
2021-01-13,2168.399902,2208.080078,2168.399902,2182.419922,2182.419922,239600
2021-01-14,2185.270020,2215.780029,2178.770020,2182.590088,2182.590088,273100
2021-01-15,2179.290039,2179.290039,2116.000000,2119.229980,2119.229980,340800
2021-01-19,2135.000000,2169.949951,2108.959961,2163.040039,2163.040039,274900
2021-01-20,2179.979980,2179.979980,2124.560059,2160.050049,2160.050049,339000
2021-01-21,2140.899902,2157.010010,2105.000000,2109.939941,2109.939941,460800
2021-01-22,2101.830078,2109.510010,2065.000000,2066.239990,2066.239990,356700
2021-01-25,2044.859985,2060.350098,1947.089966,2018.430054,2018.430054,879500
2021-01-26,2033.369995,2056.729980,1974.650024,1983.160034,1983.160034,447600
2021-01-27,1949.329956,1975.959961,1860.729980,1886.089966,1886.089966,705600
2021-01-28,1979.040039,2048.770020,1935.880005,2034.099976,2034.099976,843300
2021-01-29,2036.000000,2040.000000,1938.800049,1944.329956,1944.329956,536200
2021-02-01,1996.189941,2006.380005,1965.000000,1990.459961,1990.459961,478700
2021-02-02,2035.000000,2112.909912,2025.410034,2065.530029,2065.530029,440700
2021-02-03,2079.530029,2094.800049,2024.719971,2027.300049,2027.300049,352600
2021-02-04,2036.189941,2085.899902,2015.660034,2082.939941,2082.939941,355200
2021-02-05,2109.290039,2129.989990,2073.879883,2096.419922,2096.419922,238400
2021-02-08,2117.050049,2131.659912,2070.790039,2099.560059,2099.560059,219000
2021-02-09,2082.879883,2104.850098,2051.639893,2085.280029,2085.280029,229700
2021-02-10,2116.300049,2161.209961,2091.179932,2141.760010,2141.760010,334100
2021-02-11,2145.340088,2183.659912,2132.840088,2159.260010,2159.260010,258300
2021-02-12,2126.350098,2188.989990,2110.010010,2150.580078,2150.580078,210600
2021-02-16,2139.189941,2198.030029,2133.709961,2184.159912,2184.159912,242400
2021-02-17,2183.389893,2237.949951,2174.149902,2233.770020,2233.770020,287700
2021-02-18,2190.030029,2275.909912,2190.030029,2259.790039,2259.790039,317000
2021-02-19,2273.000000,2322.040039,2259.850098,2293.050049,2293.050049,353500
2021-02-22,2265.669922,2392.969971,2265.669922,2350.020020,2350.020020,504100
2021-02-23,2348.360107,2367.000000,2292.169922,2359.370117,2359.370117,515300
2021-02-24,2343.770020,2450.260010,2324.179932,2443.500000,2443.500000,610000
2021-02-25,2419.929932,2438.949951,2261.469971,2273.199951,2273.199951,751800
2021-02-26,2343.899902,2345.000000,2251.709961,2328.510010,2328.510010,503900
2021-03-01,2372.989990,2382.300049,2300.209961,2320.500000,2320.500000,359900
2021-03-02,2338.000000,2342.000000,2275.000000,2282.209961,2282.209961,310000
2021-03-03,2286.229980,2334.939941,2272.139893,2275.000000,2275.000000,364500
2021-03-04,2277.169922,2277.169922,2163.399902,2219.350098,2219.350098,484100
2021-03-05,2235.770020,2312.800049,2178.879883,2307.100098,2307.100098,435300
2021-03-08,2303.429932,2412.340088,2298.360107,2368.739990,2368.739990,564000
2021-03-09,2380.139893,2441.750000,2344.010010,2366.790039,2366.790039,481700
2021-03-10,2379.350098,2420.000000,2363.909912,2369.320068,2369.320068,443900
2021-03-11,2398.280029,2447.469971,2343.780029,2362.060059,2362.060059,512200
2021-03-12,2358.989990,2412.830078,2350.879883,2401.040039,2401.040039,404600
